DAY & DATE,TIME,LEVEL ,COURSE CODE, COURSE TITLE,NO. OF STDS,SEATS,VENUE,FACULTY,DEPARTMENT ,INVIG,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200PHS ,PHS 236,NUTRITION IN PUBLIC HEALTH,410,HP - 131-,EXT II,FEHE,PHE, ,, ,,,,
"Thursday, April 9, 2026",07:00-09:00,200PHS ,PHS 236,NUTRITION IN PUBLIC HEALTH,410,END,LAB,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200PHS ,PHS 236,NUTRITION IN PUBLIC HEALTH,410,NT – 001 -,OLD ,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200PHS ,PHS 236,NUTRITION IN PUBLIC HEALTH,410,END, ,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200PHS ,PHS 236,NUTRITION IN PUBLIC HEALTH,410,DC – 001-,LBFF ,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200PHS ,PHS 236,NUTRITION IN PUBLIC HEALTH,410,END,,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200NRM,NRM 231  ,BIOMETRY ,110,001-END  ,LBSF ,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200ABM,AGB 236   ,TECHNOLOGIES FOR AGRO- PROCESSING AND VALUE  ADDITION,47,001-END  ,LBA ,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200ATI ,ATI 231   ,APPLICATIONS OF COMPUTER AIDED DESIGN  MEDICAL SOCIOLOGY,19,001-END  ,LBA TOP ,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,001-100,NLB 1,FEHE,PHE, ,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,101-200,NLB 2,FEHE,PHE, ,,,,,,
